date,season,month,team,opponent,home_away,runs_for,runs_against,result,win,loss,draw,run_diff,stadium,game_id,source_url
2024-05-03,2024,5,KIA,한화,home,2,4,L,0,1,0,-2,광주,20240503HHHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240503&gameId=20240503HHHT0
2024-05-03,2024,5,삼성,롯데,home,7,8,L,0,1,0,-1,대구,20240503LTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240503&gameId=20240503LTSS0
2024-05-04,2024,5,KIA,한화,home,10,2,W,1,0,0,8,광주,20240504HHHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240504&gameId=20240504HHHT0
2024-05-04,2024,5,삼성,롯데,home,2,9,L,0,1,0,-7,대구,20240504LTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240504&gameId=20240504LTSS0
2024-05-08,2024,5,KIA,삼성,away,4,2,W,1,0,0,2,대구,20240508HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240508&gameId=20240508HTSS0
2024-05-08,2024,5,삼성,KIA,home,2,4,L,0,1,0,-2,대구,20240508HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240508&gameId=20240508HTSS0
2024-05-09,2024,5,KIA,삼성,away,2,5,L,0,1,0,-3,대구,20240509HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240509&gameId=20240509HTSS0
2024-05-09,2024,5,삼성,KIA,home,5,2,W,1,0,0,3,대구,20240509HTSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240509&gameId=20240509HTSS0
2024-05-10,2024,5,KIA,SSG,home,2,4,L,0,1,0,-2,광주,20240510SKHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240510&gameId=20240510SKHT0
2024-05-10,2024,5,삼성,NC,away,3,10,L,0,1,0,-7,창원,20240510SSNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240510&gameId=20240510SSNC0
2024-05-11,2024,5,삼성,NC,away,3,2,W,1,0,0,1,창원,20240511SSNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240511&gameId=20240511SSNC0
2024-05-12,2024,5,KIA,SSG,home,3,2,W,1,0,0,1,광주,20240512SKHT1,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240512&gameId=20240512SKHT1
2024-05-12,2024,5,KIA,SSG,home,6,10,L,0,1,0,-4,광주,20240512SKHT2,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240512&gameId=20240512SKHT2
2024-05-12,2024,5,삼성,NC,away,7,2,W,1,0,0,5,창원,20240512SSNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240512&gameId=20240512SSNC0
2024-05-14,2024,5,KIA,두산,home,5,8,L,0,1,0,-3,광주,20240514OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240514&gameId=20240514OBHT0
2024-05-14,2024,5,삼성,SSG,away,2,9,L,0,1,0,-7,문학,20240514SSSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240514&gameId=20240514SSSK0
2024-05-15,2024,5,KIA,두산,home,8,4,W,1,0,0,4,광주,20240515OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240515&gameId=20240515OBHT0
2024-05-16,2024,5,KIA,두산,home,7,7,D,0,0,1,0,광주,20240516OBHT0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240516&gameId=20240516OBHT0
2024-05-16,2024,5,삼성,SSG,away,12,4,W,1,0,0,8,문학,20240516SSSK0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240516&gameId=20240516SSSK0
2024-05-17,2024,5,삼성,한화,home,7,5,W,1,0,0,2,대구,20240517HHSS0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240517&gameId=20240517HHSS0
2024-05-17,2024,5,KIA,NC,away,7,4,W,1,0,0,3,창원,20240517HTNC0,https://www.koreabaseball.com/Schedule/GameCenter/Main.aspx?gameDate=20240517&gameId=20240517HTNC0
