date,season,month,team,opponent,result,rolling_window_games,rolling_wins,rolling_losses,rolling_draws,rolling_win_rate
2023-08-17,2023,8,KIA,키움,W,10,5,4,1,0.556
2023-08-18,2023,8,KIA,삼성,L,10,4,5,1,0.444
2023-08-19,2023,8,KIA,삼성,W,10,4,5,1,0.444
2023-08-20,2023,8,KIA,삼성,L,10,4,6,0,0.400
2023-08-22,2023,8,KIA,KT,L,10,4,6,0,0.400
2023-08-24,2023,8,KIA,KT,W,10,5,5,0,0.500
2023-08-25,2023,8,KIA,한화,W,10,5,5,0,0.500
2023-08-26,2023,8,KIA,한화,W,10,6,4,0,0.600
2023-08-27,2023,8,KIA,한화,W,10,7,3,0,0.700
2023-08-31,2023,8,KIA,NC,W,10,7,3,0,0.700
2023-09-01,2023,9,KIA,SSG,W,10,7,3,0,0.700
2023-09-02,2023,9,KIA,SSG,W,10,8,2,0,0.800
2023-09-03,2023,9,KIA,SSG,W,10,8,2,0,0.800
2023-09-06,2023,9,KIA,두산,W,10,9,1,0,0.900
2023-09-07,2023,9,KIA,두산,L,10,9,1,0,0.900
2023-09-08,2023,9,KIA,LG,L,10,8,2,0,0.800
2023-09-09,2023,9,KIA,LG,W,10,8,2,0,0.800
2023-09-09,2023,9,KIA,LG,W,10,8,2,0,0.800
2023-09-10,2023,9,KIA,LG,W,10,8,2,0,0.800
2023-09-12,2023,9,KIA,삼성,L,10,7,3,0,0.700
2023-09-13,2023,9,KIA,롯데,L,10,6,4,0,0.600
2023-09-15,2023,9,KIA,두산,L,10,5,5,0,0.500
2023-09-17,2023,9,KIA,두산,L,10,4,6,0,0.400
2023-09-18,2023,9,KIA,두산,L,10,3,7,0,0.300
2023-09-19,2023,9,KIA,LG,L,10,3,7,0,0.300
2023-09-21,2023,9,KIA,한화,L,10,3,7,0,0.300
2023-09-22,2023,9,KIA,KT,W,10,3,7,0,0.300
2023-09-23,2023,9,KIA,KT,L,10,2,8,0,0.200
2023-09-24,2023,9,KIA,KT,L,10,1,9,0,0.100
2023-09-26,2023,9,KIA,NC,W,10,2,8,0,0.200
2023-09-27,2023,9,KIA,NC,L,10,2,8,0,0.200
2023-09-27,2023,9,KIA,NC,W,10,3,7,0,0.300
2023-09-28,2023,9,KIA,NC,L,10,3,7,0,0.300
2023-09-29,2023,9,KIA,키움,W,10,4,6,0,0.400
2023-09-30,2023,9,KIA,SSG,L,10,4,6,0,0.400
2023-10-01,2023,10,KIA,SSG,L,10,4,6,0,0.400
2023-10-03,2023,10,KIA,KT,W,10,4,6,0,0.400
2023-10-04,2023,10,KIA,KT,W,10,5,5,0,0.500
2023-10-04,2023,10,KIA,KT,L,10,5,5,0,0.500
2023-10-05,2023,10,KIA,KT,L,10,4,6,0,0.400
2023-10-06,2023,10,KIA,LG,W,10,5,5,0,0.500
2023-10-08,2023,10,KIA,삼성,W,10,5,5,0,0.500
2023-10-09,2023,10,KIA,삼성,W,10,6,4,0,0.600
2023-10-10,2023,10,KIA,SSG,L,10,5,5,0,0.500
2023-10-11,2023,10,KIA,키움,W,10,6,4,0,0.600
2023-10-12,2023,10,KIA,롯데,W,10,7,3,0,0.700
2023-10-13,2023,10,KIA,두산,L,10,6,4,0,0.600
2023-10-16,2023,10,KIA,NC,W,10,6,4,0,0.600
2023-10-17,2023,10,KIA,NC,W,10,7,3,0,0.700
2023-04-01,2023,4,삼성,NC,L,1,0,1,0,
2023-04-02,2023,4,삼성,NC,W,2,1,1,0,
2023-04-04,2023,4,삼성,한화,W,3,2,1,0,
2023-04-06,2023,4,삼성,한화,L,4,2,2,0,
2023-04-07,2023,4,삼성,LG,L,5,2,3,0,
2023-04-08,2023,4,삼성,LG,L,6,2,4,0,
2023-04-09,2023,4,삼성,LG,L,7,2,5,0,
2023-04-11,2023,4,삼성,SSG,L,8,2,6,0,
2023-04-12,2023,4,삼성,SSG,L,9,2,7,0,
2023-04-13,2023,4,삼성,SSG,W,10,3,7,0,0.300
2023-04-14,2023,4,삼성,롯데,W,10,4,6,0,0.400
2023-04-15,2023,4,삼성,롯데,L,10,3,7,0,0.300
2023-04-16,2023,4,삼성,롯데,W,10,3,7,0,0.300
2023-04-18,2023,4,삼성,키움,W,10,4,6,0,0.400
